review,label
El doctor fue muy amable y atento,positivo
El doctor no respondió mis preguntas,negativo
Excelente atención y servicio,positivo
Nunca volveré a este hospital,negativo
El personal de recepción fue muy cordial,positivo
El proceso de registro fue lento y confuso,negativo
El hospital cuenta con tecnología moderna,positivo
No recibí la medicación adecuada,negativo
El diagnóstico fue rápido y preciso,positivo
La espera fue demasiado larga,negativo
Definitivamente recomendaría este hospital,positivo
El ambiente era ruidoso e incómodo,negativo
Las instalaciones estaban limpias y confortables,positivo
El doctor no respondió mis preguntas,negativo
Recibí un tratamiento muy eficaz,positivo
El costo fue excesivo para el servicio recibido,negativo
Las instalaciones estaban limpias y confortables,positivo
No recibí seguimiento tras la consulta,negativo
El doctor mostró interés genuino en mi salud,positivo
La enfermera fue grosera y apática,negativo
El especialista mostró gran conocimiento,positivo
El hospital carecía de equipamiento básico,negativo
Definitivamente recomendaría este hospital,positivo
Me hicieron esperar sin dar explicaciones,negativo
El quirófano estaba impecable,positivo
El servicio fue pésimo y desorganizado,negativo
El plan de tratamiento fue claro y efectivo,positivo
El especialista parecía apresurado,negativo
El trato del personal fue humano y empático,positivo
El procedimiento fue doloroso y mal explicado,negativo
El proceso de admisión fue ágil y sencillo,positivo
El hospital carecía de equipamiento básico,negativo
El quirófano estaba impecable,positivo
Me hicieron esperar sin dar explicaciones,negativo
El servicio de emergencias fue inmediato,positivo
El proceso de registro fue lento y confuso,negativo
Excelente atención y servicio,positivo
Me atendieron con mucho retraso,negativo
El doctor explicó claramente cada paso,positivo
Nunca volveré a este hospital,negativo
El personal de recepción fue muy cordial,positivo
No recibí seguimiento tras la consulta,negativo
Excelente atención y servicio,positivo
El personal no mostró empatía alguna,negativo
El plan de tratamiento fue claro y efectivo,positivo
El ambiente era ruidoso e incómodo,negativo
Me atendieron a tiempo sin demoras,positivo
El servicio fue pésimo y desorganizado,negativo
El quirófano estaba impecable,positivo
El personal parecía desinteresado,negativo
El ambiente del hospital transmitía confianza,positivo
No me explicaron los efectos secundarios,negativo
El ambiente del hospital transmitía confianza,positivo
El servicio fue pésimo y desorganizado,negativo
El doctor fue muy amable y atento,positivo
El doctor no respondió mis preguntas,negativo
Me sentí acompañado en todo momento,positivo
El costo fue excesivo para el servicio recibido,negativo
La recuperación fue más rápida de lo esperado,positivo
Me atendieron con mucho retraso,negativo
El medicamento recetado funcionó perfectamente,positivo
El hospital estaba sucio y descuidado,negativo
La enfermera fue muy paciente y amable,positivo
Nunca volveré a este hospital,negativo
El fisioterapeuta mostró gran profesionalismo,positivo
El personal no mostró empatía alguna,negativo
El personal de recepción fue muy cordial,positivo
El hospital carecía de equipamiento básico,negativo
El personal médico resolvió todas mis dudas,positivo
El doctor no respondió mis preguntas,negativo
El ambiente del hospital transmitía confianza,positivo
El personal no respetó mi privacidad,negativo
La recuperación fue más rápida de lo esperado,positivo
El doctor no respondió mis preguntas,negativo
El seguimiento telefónico me ayudó mucho,positivo
El tratamiento no tuvo resultados,negativo
La atención fue personalizada y detallada,positivo
La enfermera fue grosera y apática,negativo
El quirófano estaba impecable,positivo
El procedimiento fue doloroso y mal explicado,negativo
La recuperación fue más rápida de lo esperado,positivo
Nunca volveré a este hospital,negativo
El hospital cuenta con tecnología moderna,positivo
El tratamiento no tuvo resultados,negativo
El seguimiento telefónico me ayudó mucho,positivo
El proceso de registro fue lento y confuso,negativo
El proceso de admisión fue ágil y sencillo,positivo
El tratamiento no tuvo resultados,negativo
El hospital cuenta con tecnología moderna,positivo
Me dieron un diagnóstico contradictorio,negativo
Excelente atención y servicio,positivo
No recibí seguimiento tras la consulta,negativo
El proceso de admisión fue ágil y sencillo,positivo
No me gustó el trato del personal,negativo
El quirófano estaba impecable,positivo
El hospital carecía de equipamiento básico,negativo
Las instalaciones estaban limpias y confortables,positivo
El hospital no tenía suficientes especialistas,negativo
El diagnóstico fue rápido y preciso,positivo
El personal no mostró empatía alguna,negativo
Me sentí escuchado y comprendido,positivo
El diagnóstico fue incorrecto,negativo
Las instalaciones estaban limpias y confortables,positivo
El hospital no tenía suficientes especialistas,negativo
Recibí un tratamiento muy eficaz,positivo
Nunca volveré a este hospital,negativo
Me atendieron a tiempo sin demoras,positivo
El personal parecía desinteresado,negativo
El doctor fue muy amable y atento,positivo
El costo fue excesivo para el servicio recibido,negativo
El seguimiento telefónico me ayudó mucho,positivo
El especialista parecía apresurado,negativo
El personal médico resolvió todas mis dudas,positivo
El servicio fue pésimo y desorganizado,negativo
El proceso de admisión fue ágil y sencillo,positivo
Me dieron un diagnóstico contradictorio,negativo
La sala de espera era cómoda y tranquila,positivo
No recibí la medicación adecuada,negativo
El medicamento recetado funcionó perfectamente,positivo
No recibí la medicación adecuada,negativo
Me ofrecieron varias opciones de tratamiento,positivo
El hospital carecía de equipamiento básico,negativo
Me dieron seguimiento después de la consulta,positivo
El servicio fue pésimo y desorganizado,negativo
La enfermera fue muy paciente y amable,positivo
El personal no mostró empatía alguna,negativo
Excelente atención y servicio,positivo
El costo fue excesivo para el servicio recibido,negativo
El trato del personal fue humano y empático,positivo
La sala de espera estaba llena y desordenada,negativo
El plan de tratamiento fue claro y efectivo,positivo
El procedimiento fue doloroso y mal explicado,negativo
El doctor explicó claramente cada paso,positivo
El costo fue excesivo para el servicio recibido,negativo
El doctor fue muy amable y atento,positivo
El servicio fue pésimo y desorganizado,negativo
El personal de recepción fue muy cordial,positivo
El costo fue excesivo para el servicio recibido,negativo
Recibí un tratamiento muy eficaz,positivo
El especialista parecía apresurado,negativo
El diagnóstico fue rápido y preciso,positivo
El diagnóstico fue incorrecto,negativo
El trato del personal fue humano y empático,positivo
Nunca volveré a este hospital,negativo
El medicamento recetado funcionó perfectamente,positivo
No me explicaron los efectos secundarios,negativo
El doctor explicó claramente cada paso,positivo
El hospital estaba sucio y descuidado,negativo
El doctor fue muy amable y atento,positivo
No recibí la medicación adecuada,negativo
El seguimiento telefónico me ayudó mucho,positivo
La sala de espera estaba llena y desordenada,negativo
El trato del personal fue humano y empático,positivo
El servicio fue pésimo y desorganizado,negativo
La atención fue personalizada y detallada,positivo
El proceso de registro fue lento y confuso,negativo
La recuperación fue más rápida de lo esperado,positivo
El diagnóstico fue incorrecto,negativo
Excelente atención y servicio,positivo
El hospital estaba sucio y descuidado,negativo
El personal de recepción fue muy cordial,positivo
El hospital no tenía suficientes especialistas,negativo
El plan de tratamiento fue claro y efectivo,positivo
Me atendieron con mucho retraso,negativo
Recibí un tratamiento muy eficaz,positivo
No me explicaron los efectos secundarios,negativo
El medicamento recetado funcionó perfectamente,positivo
El personal no mostró empatía alguna,negativo
La recuperación fue más rápida de lo esperado,positivo
El hospital no tenía suficientes especialistas,negativo
El ambiente del hospital transmitía confianza,positivo
El personal no respetó mi privacidad,negativo
El personal de recepción fue muy cordial,positivo
El doctor no respondió mis preguntas,negativo
El proceso de admisión fue ágil y sencillo,positivo
El proceso de registro fue lento y confuso,negativo
La atención fue personalizada y detallada,positivo
El tiempo de espera en urgencias fue inaceptable,negativo
El doctor explicó claramente cada paso,positivo
La espera fue demasiado larga,negativo
Definitivamente recomendaría este hospital,positivo
No me gustó el trato del personal,negativo
El quirófano estaba impecable,positivo
El proceso de registro fue lento y confuso,negativo
La atención fue personalizada y detallada,positivo
El tiempo de espera en urgencias fue inaceptable,negativo
El medicamento recetado funcionó perfectamente,positivo
Tuve que repetir exámenes por errores administrativos,negativo
La sala de espera era cómoda y tranquila,positivo
Tuve que repetir exámenes por errores administrativos,negativo
El doctor mostró interés genuino en mi salud,positivo
El especialista parecía apresurado,negativo
Me dieron seguimiento después de la consulta,positivo
Me dieron un diagnóstico contradictorio,negativo
El plan de tratamiento fue claro y efectivo,positivo
El hospital no tenía suficientes especialistas,negativo
Excelente atención y servicio,positivo
El servicio fue pésimo y desorganizado,negativo
Excelente atención y servicio,positivo
El personal no mostró empatía alguna,negativo
